word,definition
"AD","in the Christian era"
"as","to the same degree (often followed by `as')"
"AI","the branch of computer science that deal with writing computer programs that can solve problems creatively"
"ai","a sloth that has three long claws on each forefoot and each hindfoot"
"ax","an edge tool with a heavy bladed head mounted across a handle"
"ax","to terminate"
"ax","to chop or split with an ax"
"ab","the muscles of the abdomen"
"AA","an associate degree in arts"
"AA","an international organization that provides a support group for persons trying to overcome alcoholism"
"ad","a public promotion of some product or service"
"AC","an electric current that reverses direction sinusoidally"
"ar","a unit of surface area equal to 100 square meters"
"AU","a unit of length used for distances within the solar system"
"at","100 at equal 1 kip in Laos"
"Al","a silvery ductile metallic element found primarily in bauxite"
"aa","a dry form of lava resembling clinkers"
"Ab","the eleventh month of the civil year"
"BC","before the Christian era"
"by","in reserve"
"by","so as to pass a given point"
"bm","a euphemism for defecation"
"be","to spend or use time"
"be","to work in a specific place, with a specific subject, or in a specific function"
"be","to have an existence, be extant"
"be","to be identical to"
"be","to represent, as of a character on stage"
"be","to be priced at"
"be","to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form"
"CE","of the period coinciding with the Christian era"
"cf","compare (used in texts to point the reader to another location in the text)"
"cx","being ten more than one hundred"
"cl","being ten more than one hundred forty"
"cl","a metric unit of volume equal to one hundredth of a liter"
"cc","being ten more than one hundred ninety"
"cc","a metric unit of volume equal to one thousandth of a liter"
"cd","being one hundred more than three hundred"
"cd","the basic unit of luminous intensity adopted under the Systeme International d'Unites"
"ci","being one more than one hundred"
"cv","being five more than one hundred"
"CV","a summary of your academic and work history"
"cm","a metric unit of length equal to one hundredth of a meter"
"do","the syllable naming the first (tonic) note of any major scale in solmization"
"do","an uproarious party"
"do","behave in a certain manner"
"do","arrange attractively"
"do","create or design, often in a certain way"
"do","give rise to"
"do","carry out or perform an action"
"do","travel or traverse (a distance)"
"do","carry on or function"
"do","engage in"
"do","get (something) done"
"do","carry out or practice"
"do","proceed or get along"
"do","be sufficient"
"do","spend time in prison or in a labor camp"
"DC","an electric current that flows in one direction steadily"
"dj","a person who announces and plays popular recorded music"
"dl","a metric unit of volume equal to one tenth of a liter"
"dm","a metric unit of length equal to one tenth of a meter"
"dg","1/10 gram"
"dB","a logarithmic unit of sound intensity"
"DJ","comment on music to be played"
"ex","out of fashion"
"ex","the 24th letter of the Roman alphabet"
"ex","a former spouse or lover"
"ex","a man who was formerly a certain woman's husband"
"el","a railway that is powered by electricity and that runs on a track that is raised above the street level"
"eq","the atomic weight of an element that has the same combining capacity as a given weight of another element"
"em","a linear unit (1/6 inch) used in printing"
"em","a quad with a square body"
"en","half the width of an em"
"eV","a unit of energy equal to the work done by an electron accelerated through a potential difference of 1 volt"
"FM","modulation of the frequency of the (radio) carrier wave"
"fa","the syllable naming the fourth (subdominant) note of the diatonic scale in solmization"
"ft","a linear unit of length equal to 12 inches or a third of a yard"
"go","functioning correctly and ready for action"
"go","a board game for two players who place counters on a grid"
"go","a usually brief attempt"
"go","street names for methylenedioxymethamphetamine"
"go","a time for working (after which you will be relieved by someone else)"
"go","enter or assume a certain state or condition"
"go","follow a certain course"
"go","pass from physical life and lose all bodily attributes and functions necessary to sustain life"
"go","be abolished or discarded"
"go","stop operating or functioning"
"go","progress by being changed"
"go","give support (to) or make a choice (of) one out of a group or number"
"go","have a turn"
"go","to be spent or finished"
"go","be spent"
"go","go through in search of something"
"go","perform as expected when applied"
"go","change location"
"go","move away from a place into another direction"
"go","begin or set in motion"
"go","make a certain noise or sound"
"go","follow a procedure or take a course"
"go","pass, fare, or elapse"
"go","be or continue to be in a certain condition"
"go","continue to live through hardship or adversity"
"go","be awarded"
"go","be the right size or shape"
"go","stretch out over a distance, space, time, or scope"
"go","lead, extend, or afford access"
"go","blend or harmonize"
"go","be sounded, played, or expressed"
"go","be contained in"
"go","have a particular form"
"go","be ranked or compare"
"go","be in the right place or situation"
"GU","of or related to the genital and urinary organs or their functions"
"GI","of or relating to the stomach and intestines"
"GI","clean in preparation for inspection"
"GP","a physician who is not a specialist but treats all illnesses"
"gm","a metric unit of weight equal to one thousandth of a kilogram"
"hi","an expression of greeting"
"he","the nominative singular masculine pronoun"
"he","the 5th letter of the Hebrew alphabet"
"hl","a metric unit of volume or capacity equal to 100 liters"
"hm","a metric unit of length equal to 100 meters"
"hg","100 grams"
"hr","a period of time equal to 1/24th of a day"
"ie","that is to say"
"in","holding office"
"in","to or toward the inside of"
"in","currently fashionable"
"in","a unit of length equal to one twelfth of a foot"
"in","directed or bound inward"
"ix","denoting a quantity consisting of one more than eight and one less than ten"
"ii","being one more than one"
"iv","being one more than three"
"il","being nine more than forty"
"ic","being nine more than ninety"
"IV","administration of nutrients through a vein"
"id","(psychoanalysis) primitive instincts and energies underlying all psychic activity"
"ID","a card or badge used to identify the bearer"
"IQ","a measure of a person's intelligence as indicated by an intelligence test"
"KO","a blow that renders the opponent unconscious"
"KO","to knock unconscious or senseless"
"kt","the unit of measurement for the proportion of gold in an alloy"
"kB","a unit of information equal to 1024 bytes, often mistaken as 1000 bytes"
"kb","a unit of information equal to 1000 bits"
"kV","a unit of potential equal to a thousand volts"
"kW","a unit of power equal to 1000 watts"
"km","a metric unit of length equal to 1000 meters"
"kg","one thousand grams"
"ki","in Chinese philosophy, the circulating life energy that is thought to be inherent in all things"
"kc","one thousand periods per second"
"li","being one more than fifty"
"li","Chinese distance measure"
"lv","being five more than fifty"
"lx","being ten more than fifty"
"lx","a unit of illumination equal to 1 lumen per square meter"
"LP","a long-playing phonograph record"
"la","the syllable naming the sixth (submediant) note of a major or minor scale in solmization"
"lm","a unit of luminous flux equal to the amount of light given out through a solid angle of 1 steradian by a point source of 1 candela intensity radiating uniformly in all directions"
"lb","16 ounces avoirdupois"
"ms","the form of a literary work submitted for publication"
"MD","a licensed medical practitioner"
"mu","the 12th letter of the Greek alphabet"
"mi","the syllable naming the third (mediant) note of any major scale in solmization"
"mi","a unit of length equal to 1,760 yards or 5,280 feet"
"mi","a unit of length used in navigation"
"mi","a former British unit of length equivalent to 6,080 feet (1,853.184 meters)"
"ma","informal terms for a mother"
"ml","a metric unit of volume equal to one thousandth of a liter"
"mm","a metric unit of length equal to one thousandth of a meter"
"mA","one thousandth of an ampere"
"mV","a unit of potential equal to one thousandth of a volt"
"mg","one thousandth (1/1,000) gram"
"mo","an indefinitely short time"
"no","quantifier"
"no","used to express refusal or denial or disagreement etc or especially to emphasize a negative statement"
"no","not in any degree or manner"
"no","referring to the degree to which a certain quality is present"
"no","a negative"
"NB","an abbreviation for the Latin phrase ""nota bene,"" used to indicate that special attention should be paid to something"
"nu","the 13th letter of the Greek alphabet"
"nm","a metric unit of length equal to one billionth of a meter"
"ng","one billionth (1/1,000,000,000) gram"
"ok","in a satisfactory or adequate manner"
"ok","being satisfactory or in satisfactory condition"
"ok","an endorsement"
"ok","to give sanction to"
"OK","an expression of agreement normally occurring at the beginning of a sentence"
"OK","an endorsement"
"on","with a forward motion"
"on","indicates continuity or persistence or concentration"
"on","in a state required for something to function or be effective"
"on","in operation or operational"
"on","of events, planned or scheduled"
"ox","any of various wild bovines especially of the genera Bos or closely related Bibos"
"ox","an adult castrated bull of the genus Bos"
"OR","a room in a hospital equipped for the performance of surgical operations"
"os","rigid connective tissue that makes up the skeleton of vertebrates"
"os","a mouth or mouthlike opening"
"OS","(computer science) software that controls the execution of computer programs and may provide various services"
"PM","the person who holds the position of head of the government in the United Kingdom"
"PC","a small digital computer based on a microprocessor and designed to be used by one person at a time"
"PA","an electronic amplification system used as a communication system in public areas"
"PI","someone who can be employed as a detective to collect information"
"pH","(from potential of Hydrogen) the logarithm of the reciprocal of hydrogen-ion concentration in gram atoms per liter"
"PS","a note appended to a letter after the signature"
"pi","the 16th letter of the Greek alphabet"
"pi","the ratio of the circumference to the diameter of a circle"
"pe","the 17th letter of the Hebrew alphabet"
"PR","a promotion intended to create goodwill for a person or institution"
"pa","an informal term for a father"
"qi","in Chinese philosophy, the circulating life energy that is thought to be inherent in all things"
"RV","a motorized wheeled vehicle used for camping or other recreational activities"
"re","the syllable naming the second (supertonic) note of any major scale in solmization"
"RN","a graduate nurse who has passed examinations for registration"
"so","in truth (often tends to intensify)"
"so","(used to introduce a logical conclusion) from that fact or reason or as a result"
"so","subsequently or soon afterward (often used as sentence connectors)"
"so","in a manner that facilitates"
"so","in the way indicated"
"so","to a very great extent or degree"
"so","to an extent or degree as expressed"
"so","in such a condition or manner, especially as expressed or implied"
"so","to a certain unspecified extent or degree"
"so","in the same way"
"so","the syllable naming the fifth (dominant) note of any musical scale in solmization"
"si","the syllable naming the seventh (subtonic) note of any musical scale in solmization"
"sr","the unit of solid angle adopted under the Systeme International d'Unites"
"tv","an electronic device that receives television signals and displays them on a screen"
"TV","broadcasting visual images of stationary or moving objects"
"ti","the syllable naming the seventh (subtonic) note of any musical scale in solmization"
"ti","shrub with terminal tufts of elongated leaves used locally for thatching and clothing"
"te","the syllable naming the seventh (subtonic) note of any musical scale in solmization"
"TB","infection transmitted by inhalation or ingestion of tubercle bacilli and manifested in fever and small lesions (usually in the lungs but in various other parts of the body in acute stages)"
"up","extending or moving toward a higher place"
"up","spatially or metaphorically from a lower to a higher position"
"up","to a later time"
"up","to a more central or a more northerly place"
"up","nearer to the speaker"
"up","to a higher intensity"
"up","open"
"up","getting higher or more vigorous"
"up","being or moving higher in position or greater in some value"
"up","raise"
"up","out of bed"
"up","used up"
"up","(used of computers) operating properly"
"up","(usually followed by `on' or `for') in readiness"
"ut","the syllable naming the first (tonic) note of any major scale in solmization"
"UV","radiation lying in the ultraviolet range"
"we","first person singular pronoun, for a monarch or person of high status"
"we","to be, plural; replaceable with 'we are' or 'we be'"
"we","first person plural, typically"
"xi","the Roman numeral for 11"
"xi","the 14th letter of the Greek alphabet"
"xv","the Roman numeral for 15"
"xl","the Roman numeral for 40"
"xx","the Roman numeral for 20"
"xc","the Roman numeral for 90"
"yo","a greeting like 'hi'"
"ðŸ˜‚","the feeling of being so happy, or laughing so much that you cry"
